month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2024-11-01,B DIVISION,G,peak,"1,461,647.6","0.99423397","0.60048157","1,453,219.8","877,692.44","245,542.56",16.799025%,83.200973%
2024-11-01,B DIVISION,JZ,offpeak,"1,461,708.1","1.7423342","0.7898168","2,546,784.2","1,154,481.6","306,325.34",20.95667%,79.04333%
2024-11-01,B DIVISION,JZ,peak,"1,511,027.8","2.9344876","0.71202016","4,434,092","1,075,882.2","324,089.25",21.448267%,78.551733%
2024-11-01,B DIVISION,L,offpeak,"2,842,896.2","0.74947786","0.54432684","2,130,687.8","1,547,464.6","237,886.9",8.3677664%,91.632235%
2024-11-01,B DIVISION,L,peak,"2,873,707","0.7628244","0.4644929","2,192,133.8","1,334,816.5","188,560.64",6.561582%,93.438417%
2024-11-01,B DIVISION,M,offpeak,"1,818,609.6","2.043","0.39361343","3,715,419.2","715,829.1","405,963.88",22.32276%,77.67724%
2024-11-01,B DIVISION,M,peak,"2,044,397.8","2.6044252","0.26072583","5,324,480.5","533,027.25","426,828.88",20.877977%,79.122025%
2024-11-01,B DIVISION,N,offpeak,"2,581,011.5","1.4640932","0.8313809","3,778,841.5","2,145,803.8","547,030.1",21.194407%,78.80559%
2024-11-01,B DIVISION,N,peak,"2,852,913.5","1.6412561","0.6281711","4,682,362","1,792,117.8","565,429.9",19.819385%,80.180615%
2024-11-01,B DIVISION,Q,offpeak,"3,211,555","1.2226669","0.2632981","3,926,661.8","845,596.25","564,029.94",17.562518%,82.43748%
2024-11-01,B DIVISION,Q,peak,"3,460,366.2","1.2805818","0.5221607","4,431,282","1,806,867.4","647,406.56",18.709192%,81.290805%
2024-11-01,B DIVISION,R,offpeak,"3,405,462.8","1.776163","0.12451266","6,048,657","424,023.22","709,793.94",20.842803%,79.1572%
2024-11-01,B DIVISION,R,peak,"3,857,288.2","1.6813945","-0.033321623","6,485,623","-128,531.1","672,158.25",17.425668%,82.57433%
2024-11-01,B DIVISION,S Fkln,offpeak,"196,903.94","0.22469893","0.021614442","44,244.1","4,255.9688","5,792.082",2.9415777%,97.05842%
2024-11-01,B DIVISION,S Fkln,peak,"185,786.1","0.2708479","0.03500389","50,319.77","6,503.236","6,727.8984",3.6213145%,96.378684%
